station,yaw,pitch,granted,in_frustum_expected,culled_visible,missing_box,missing_centre,s0,s1,s2,s3,s4,s5
roof,210,0,32,16,40,0,0,0.064,0.096,0.067,0.050,0.018,0.013
roof,240,0,32,12,31,0,0,0.064,0.082,0.081,0.018,0.049,0.017
roof,270,0,32,8,30,0,0,0.066,0.071,0.073,0.030,0.034,0.041
roof,300,0,32,11,35,0,0,0.061,0.074,0.061,0.064,0.029,0.041
roof,330,0,32,10,52,0,0,0.054,0.078,0.062,0.041,0.047,0.019
roof,0,20,32,5,11,0,0,0.072,0.093,0.096,0.030,0.053,0.073
roof,30,20,32,5,10,0,0,0.056,0.087,0.093,0.029,0.037,0.055
roof,60,20,32,1,2,0,0,0.065,0.072,0.090,0.030,0.029,0.038
roof,90,20,32,1,2,0,0,0.083,0.067,0.073,0.046,0.029,0.034
roof,120,20,32,2,5,0,0,0.106,0.083,0.057,0.020,0.042,0.029
roof,150,20,32,0,3,0,0,0.140,0.107,0.066,0.044,0.030,0.040
roof,180,20,32,1,4,0,0,0.134,0.138,0.083,0.028,0.036,0.029
roof,210,20,32,2,5,0,0,0.101,0.157,0.105,0.044,0.036,0.033
roof,240,20,32,5,8,0,0,0.096,0.140,0.139,0.033,0.045,0.036
roof,270,20,32,7,12,0,0,0.098,0.116,0.135,0.035,0.037,0.044
roof,300,20,32,7,16,0,0,0.092,0.103,0.103,0.077,0.033,0.036
roof,330,20,32,5,18,0,0,0.087,0.096,0.092,0.056,0.066,0.024
harukiya,0,-20,46,38,114,0,0,0.006,0.000,0.014,0.000,0.000,0.000
harukiya,30,-20,46,42,113,0,0,0.008,0.005,0.000,0.007,0.000,0.000
harukiya,60,-20,46,36,81,0,0,0.028,0.013,0.003,0.006,0.001,0.000
harukiya,90,-20,46,20,30,0,0,0.235,0.134,0.127,0.179,0.150,0.108
harukiya,120,-20,46,18,26,0,0,0.124,0.227,0.089,0.098,0.175,0.133
harukiya,150,-20,46,17,27,0,0,0.433,0.171,0.188,0.157,0.109,0.311
harukiya,180,-20,46,11,27,0,0,0.419,0.302,0.201,0.119,0.110,0.173
harukiya,210,-20,46,10,31,0,0,0.007,0.436,0.219,0.001,0.115,0.098
harukiya,240,-20,46,11,33,0,0,0.026,0.116,0.513,0.076,0.057,0.141
harukiya,270,-20,46,13,29,3,0,0.192,0.020,0.191,0.256,0.071,0.129
harukiya,300,-20,46,20,43,0,0,0.068,0.117,0.004,0.249,0.237,0.000
harukiya,330,-20,46,35,98,0,0,0.000,0.017,0.018,0.000,0.000,0.000
harukiya,0,0,46,40,159,0,0,0.006,0.000,0.046,0.001,0.000,0.001
harukiya,30,0,46,44,161,0,0,0.038,0.002,0.000,0.012,0.001,0.000
harukiya,60,0,46,38,123,0,0,0.048,0.023,0.001,0.016,0.006,0.000
harukiya,90,0,46,20,30,0,0,0.257,0.107,0.068,0.264,0.212,0.129
harukiya,120,0,46,18,26,0,0,0.224,0.201,0.074,0.089,0.276,0.163
harukiya,150,0,46,16,24,0,0,0.506,0.274,0.177,0.305,0.141,0.315
harukiya,180,0,46,10,26,0,0,0.417,0.415,0.278,0.281,0.196,0.154
harukiya,210,0,46,9,28,0,0,0.026,0.440,0.289,0.001,0.262,0.136
harukiya,240,0,46,9,29,1,0,0.042,0.160,0.508,0.034,0.075,0.329
harukiya,270,0,46,10,32,0,0,0.144,0.043,0.246,0.130,0.020,0.148
harukiya,300,0,46,18,47,2,0,0.161,0.081,0.016,0.160,0.080,0.001
harukiya,330,0,46,37,148,0,0,0.000,0.022,0.003,0.000,0.001,0.000
harukiya,0,20,46,40,159,0,0,0.002,0.000,0.004,0.005,0.000,0.046
harukiya,30,20,46,44,165,0,0,0.030,0.000,0.000,0.014,0.004,0.000
harukiya,60,20,46,39,125,0,0,0.025,0.006,0.000,0.029,0.017,0.003
harukiya,90,20,46,20,33,0,0,0.251,0.085,0.086,0.244,0.135,0.126
harukiya,120,20,46,19,29,0,0,0.420,0.171,0.057,0.092,0.224,0.093
harukiya,150,20,46,17,28,0,0,0.473,0.338,0.121,0.454,0.161,0.185
harukiya,180,20,46,12,28,0,0,0.288,0.437,0.247,0.425,0.307,0.209
harukiya,210,20,46,11,33,0,0,0.084,0.380,0.420,0.003,0.447,0.217
harukiya,240,20,46,12,34,0,0,0.035,0.224,0.498,0.013,0.114,0.529
harukiya,270,20,46,13,35,3,0,0.178,0.141,0.303,0.144,0.011,0.190
harukiya,300,20,46,26,73,0,0,0.000,0.000,0.000,0.009,0.017,0.000
harukiya,330,20,46,38,158,0,0,0.000,0.000,0.001,0.000,0.024,0.004
arcade cluster,0,-20,63,37,121,1,0,0.000,0.000,0.000,0.000,0.000,0.000
arcade cluster,30,-20,63,34,109,0,0,0.005,0.000,0.000,0.000,0.000,0.000
arcade cluster,60,-20,63,32,70,0,0,0.022,0.003,0.000,0.002,0.000,0.000
arcade cluster,90,-20,63,15,23,0,0,0.118,0.016,0.000,0.089,0.001,0.000
arcade cluster,120,-20,63,18,24,0,0,0.180,0.093,0.010,0.246,0.028,0.000
arcade cluster,150,-20,63,26,37,0,0,0.073,0.159,0.067,0.074,0.095,0.012
arcade cluster,180,-20,63,32,52,0,0,0.000,0.062,0.084,0.000,0.008,0.006
arcade cluster,210,-20,63,29,52,0,0,0.001,0.016,0.079,0.000,0.006,0.004
arcade cluster,240,-20,63,29,52,0,0,0.000,0.000,0.024,0.000,0.000,0.021
arcade cluster,270,-20,63,32,57,0,0,0.000,0.000,0.001,0.000,0.000,0.000
arcade cluster,300,-20,63,36,65,0,0,0.000,0.000,0.001,0.000,0.000,0.000
arcade cluster,330,-20,63,38,116,0,0,0.000,0.000,0.000,0.000,0.000,0.000
arcade cluster,0,0,63,37,152,0,0,0.000,0.000,0.000,0.000,0.000,0.000
arcade cluster,30,0,63,32,144,0,0,0.004,0.000,0.000,0.004,0.000,0.000
arcade cluster,60,0,63,32,106,1,0,0.002,0.002,0.000,0.001,0.001,0.000
arcade cluster,90,0,63,15,20,0,0,0.090,0.007,0.000,0.128,0.009,0.000
arcade cluster,120,0,63,14,19,0,0,0.104,0.049,0.005,0.214,0.074,0.004
arcade cluster,150,0,63,26,36,0,0,0.037,0.089,0.030,0.106,0.175,0.054
arcade cluster,180,0,63,30,49,0,0,0.001,0.049,0.112,0.000,0.033,0.036
arcade cluster,210,0,63,27,48,0,0,0.000,0.011,0.076,0.000,0.016,0.045
arcade cluster,240,0,63,29,52,0,0,0.001,0.001,0.026,0.000,0.000,0.032
arcade cluster,270,0,63,31,53,0,0,0.000,0.001,0.001,0.000,0.000,0.000
arcade cluster,300,0,63,36,84,0,0,0.000,0.001,0.001,0.000,0.000,0.000
arcade cluster,330,0,63,38,149,0,0,0.000,0.000,0.001,0.000,0.000,0.000
arcade cluster,0,20,63,37,152,0,0,0.002,0.003,0.003,0.000,0.000,0.000
arcade cluster,30,20,63,36,148,0,0,0.001,0.002,0.000,0.005,0.000,0.000
arcade cluster,60,20,63,33,110,0,0,0.001,0.001,0.000,0.004,0.003,0.000
arcade cluster,90,20,63,16,24,1,0,0.055,0.001,0.001,0.130,0.016,0.000
arcade cluster,120,20,63,15,20,0,0,0.046,0.011,0.001,0.177,0.095,0.009
arcade cluster,150,20,63,26,36,0,0,0.012,0.023,0.003,0.082,0.164,0.068
arcade cluster,180,20,63,30,48,0,0,0.000,0.014,0.047,0.000,0.067,0.093
arcade cluster,210,20,63,27,49,0,0,0.001,0.004,0.049,0.000,0.015,0.082
arcade cluster,240,20,63,29,52,0,0,0.001,0.001,0.017,0.000,0.000,0.024
arcade cluster,270,20,63,32,54,0,0,0.001,0.001,0.000,0.000,0.000,0.000
arcade cluster,300,20,63,39,88,0,0,0.001,0.001,0.001,0.000,0.000,0.001
arcade cluster,330,20,63,39,154,0,0,0.000,0.002,0.001,0.000,0.000,0.000
passage throat,0,-20,63,35,125,0,0,0.005,0.021,0.003,0.001,0.001,0.001
passage throat,30,-20,63,44,134,0,0,0.001,0.007,0.030,0.001,0.001,0.001
passage throat,60,-20,63,44,120,0,0,0.226,0.176,0.045,0.114,0.179,0.163
passage throat,90,-20,63,32,58,0,0,0.158,0.227,0.166,0.124,0.162,0.130
passage throat,120,-20,63,37,53,0,0,0.081,0.168,0.229,0.167,0.168,0.124
passage throat,150,-20,63,35,58,0,0,0.140,0.110,0.196,0.165,0.196,0.116
passage throat,180,-20,63,24,43,0,0,0.096,0.156,0.091,0.132,0.208,0.124
passage throat,210,-20,63,20,38,0,0,0.198,0.108,0.147,0.119,0.195,0.165
passage throat,240,-20,63,19,35,0,0,0.229,0.172,0.073,0.122,0.173,0.166
passage throat,270,-20,63,11,14,0,0,0.167,0.227,0.168,0.130,0.169,0.135
passage throat,300,-20,63,12,14,0,0,0.062,0.176,0.226,0.183,0.174,0.122
passage throat,330,-20,63,26,49,0,0,0.046,0.080,0.207,0.163,0.198,0.124
passage throat,0,0,63,33,148,0,0,0.004,0.016,0.002,0.001,0.002,0.001
passage throat,30,0,63,40,155,0,0,0.001,0.004,0.031,0.000,0.002,0.001
passage throat,60,0,63,44,161,0,0,0.001,0.001,0.008,0.000,0.001,0.004
passage throat,90,0,63,31,65,0,0,0.195,0.291,0.201,0.084,0.114,0.088
passage throat,120,0,63,35,51,0,0,0.174,0.222,0.286,0.093,0.106,0.134
passage throat,150,0,63,33,56,0,0,0.206,0.169,0.255,0.125,0.104,0.118
passage throat,180,0,63,21,39,0,0,0.139,0.224,0.138,0.088,0.137,0.075
passage throat,210,0,63,20,37,0,0,0.255,0.171,0.214,0.124,0.109,0.127
passage throat,240,0,63,17,33,0,0,0.285,0.222,0.179,0.133,0.117,0.093
passage throat,270,0,63,11,15,0,0,0.204,0.290,0.195,0.088,0.116,0.099
passage throat,300,0,63,11,13,0,0,0.153,0.229,0.282,0.081,0.111,0.128
passage throat,330,0,63,28,69,0,0,0.014,0.010,0.061,0.003,0.001,0.018
passage throat,0,20,63,34,148,1,0,0.002,0.010,0.002,0.005,0.016,0.002
passage throat,30,20,63,41,156,0,0,0.001,0.004,0.011,0.001,0.006,0.033
passage throat,60,20,63,47,161,0,0,0.001,0.002,0.009,0.000,0.001,0.010
passage throat,90,20,63,37,83,0,0,0.195,0.272,0.205,0.148,0.218,0.156
passage throat,120,20,63,37,53,0,0,0.281,0.272,0.263,0.100,0.170,0.230
passage throat,150,20,63,34,57,0,0,0.301,0.336,0.266,0.150,0.115,0.197
passage throat,180,20,63,21,39,0,0,0.206,0.407,0.206,0.098,0.163,0.092
passage throat,210,20,63,20,38,0,0,0.265,0.338,0.302,0.200,0.111,0.156
passage throat,240,20,63,19,35,0,0,0.262,0.272,0.284,0.230,0.175,0.089
passage throat,270,20,63,12,19,0,0,0.204,0.273,0.195,0.158,0.217,0.158
passage throat,300,20,63,12,15,0,0,0.311,0.275,0.258,0.065,0.180,0.218
passage throat,330,20,63,30,80,0,0,0.009,0.005,0.001,0.013,0.010,0.001
